"country","year","province","municipality","waste_generation_tpd","food_waste_share_pct","paper_cardboard_share_pct","plastic_share_pct","known_share_pct","unknown_or_other_share_pct","estimated_lhv_low_food_unknown_zero_mj_per_kg","estimated_lhv_mixed_food_unknown_zero_mj_per_kg","estimated_lhv_mixed_food_other5_mj_per_kg","existing_feedstock_risk_score_0_100","source_note"
"Indonesia","2025","Jawa Barat","Kabupaten Indramayu","1121.64","45.17","8.47","13.78","67.42","33","8.26","9.39","11.04","76.65","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Barat","Kabupaten Bekasi","2404.34","42.7","24.08","15.56","82.34","18","11.095","12.164","13.064","64.65","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Barat","Kota Bogor","755.36","40","20","15","75","25","10.199","11.2","12.45","54.5","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Barat","Kota Cirebon","216.35","49.22","5.56","19.01","73.79","26","10.066","11.297","12.597","77.3","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Barat","Kota Tasikmalaya","333.44","25.3","12.19","31.53","69.02","31","15.136","15.769","17.319","35.1","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Tengah","Kabupaten Wonosobo","368.2","71.3","2.5","13.1","86.9","13","8.061","9.845","10.495","75","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Tengah","Kabupaten Boyolali","300.8","39","11.5","17.9","68.4","32","10.109","11.084","12.684","64.95","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Tengah","Kabupaten Klaten","650.07","60","5","20","85","15","10.758","12.259","13.009","80.15","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Tengah","Kabupaten Sukoharjo","366.59","52.25","12.9","23.9","89.05","11","13.155","14.462","15.012","66.95","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Tengah","Kabupaten Wonogiri","421.66","53","16","11","80","20","8.5","9.826","10.826","85.7","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Tengah","Kabupaten Sragen","401.9","74.3","8.9","11.2","94.4","6","8.321","10.179","10.479","84.75","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Tengah","Kabupaten Demak","626.49","39.69","12.08","17.89","69.66","30","10.211","11.204","12.704","61.5","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Tengah","Kabupaten Semarang","544.36","71.56","4.25","18.52","94.33","6","10.47","12.26","12.56","83.85","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Tengah","Kota Magelang","85.21","41.17","15.93","23.28","80.38","20","12.95","13.979","14.979","56.7","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Tengah","Kota Surakarta","421.48","49.55","7.17","10.29","67.01","33","6.844","8.083","9.733","80.9","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Tengah","Kota Semarang","1190.46","60.8","10.2","17.2","88.2","12","10.413","11.933","12.533","79.75","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kota Kediri","181.92","42.42","20.3","11.7","74.42","26","9.017","10.078","11.378","63.05","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kota Probolinggo","122.2","45.55","12.78","26.3","84.63","15","13.855","14.995","15.745","56.85","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kota Pasuruan","149.43","45","10.65","19.04","74.69","25","10.652","11.777","13.027","46.4","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kota Mojokerto","99.25","36.07","9.88","38.8","84.75","15","18.073","18.975","19.725","45.65","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kota Surabaya","1810.81","34.48","5.89","16.51","56.88","43","8.602","9.464","11.614","41.05","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kota Batu","122.15","53.55","8.38","23.97","85.9","14","12.587","13.927","14.627","63.3","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Pacitan","300.25","68.2","8.2","17.2","93.6","6","10.389","12.095","12.395","80.4","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
