country,year,composition_basis,weather_basis,food_pct,paper_pct,plastic_pct,paper_plastic_pct,wood_pct,textile_pct,yard_or_horticultural_pct,precipitation_mm_total,precipitation_days_1mm,relative_humidity_pct,temp_mean_c,composition_score_0_100,weather_moisture_score_0_100,final_risk_score_0_100,final_risk_level,data_quality_score_0_100,wang2021_eq14_lhv_mj_per_kg,lin2015_eq26_lhv_mj_per_kg,kumar2023_mlr2_lhv_mj_per_kg,korea_kwon2017_mean_lhv_mj_per_kg,korea_bae2024_general_mean_lhv_mj_per_kg,best_available_lhv_mj_per_kg,best_available_lhv_model,lhv_interpretation_type,lhv_caution_band,final_decision_class,caveat
Singapore,2023,singapore_disposed_waste_proxy,MSS/NEA Changi daily weather + data.gov.sg S24 Upper Changi humidity,18.845,26.104,27.495,53.599,4.507,6.231,1.149,2411.2,138,77.189,28.165,15.16,54.61,32.91,Low,75,11.662,10.037,14.281,,,11.662,Wang2021_Eq14_composition_model,composition-model,Favorable,Lower relative risk: maintain verification and routine quality control,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation."
Singapore,2024,singapore_disposed_waste_proxy,MSS/NEA Changi daily weather + data.gov.sg S24 Upper Changi humidity,19.388,26.14,26.261,52.401,4.802,5.972,1.2,2432,144,77.863,28.442,16.09,56.81,34.42,Low,75,11.58,9.775,13.995,,,11.58,Wang2021_Eq14_composition_model,composition-model,Favorable,Lower relative risk: maintain verification and routine quality control,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation."
South Korea,2017,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,25,,,,1128.17,95,73.254,11.474,58.92,18.03,40.52,Low,75,,,,9.699,10.947,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,Lower relative risk: maintain verification and routine quality control,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.
South Korea,2018,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,25,,,,1166.65,100,74.675,11.384,58.92,20.45,41.61,Low,75,,,,9.699,10.947,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,Lower relative risk: maintain verification and routine quality control,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.
South Korea,2019,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,25,,,,858.33,100,73.158,12.241,58.92,15.35,39.32,Low,75,,,,9.699,10.947,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,Lower relative risk: maintain verification and routine quality control,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.
South Korea,2020,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,25,,,,1658.35,108,77.433,11.892,58.92,34.84,48.09,Medium,75,,,,9.699,10.947,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,"Moderate priority: monitoring, covered storage, seasonal controls",South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.
South Korea,2021,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,25,,,,1360.89,129,78.214,12.286,58.92,33.3,47.39,Medium,75,,,,9.699,10.947,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,"Moderate priority: monitoring, covered storage, seasonal controls",South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.
South Korea,2022,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,25,,,,1639.11,109,77.475,11.602,58.92,34.67,48.01,Medium,87.5,,,,9.699,10.947,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,"Moderate priority: monitoring, covered storage, seasonal controls",Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.
South Korea,2023,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,25,,,,1329.46,106,77.869,12.481,58.92,28.44,45.2,Medium,75,,,,9.699,10.947,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,"Moderate priority: monitoring, covered storage, seasonal controls",South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.
South Korea,2024,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,25,,,,1483.67,134,79.883,13.181,58.92,38.54,49.75,Medium,75,,,,9.699,10.947,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,"Moderate priority: monitoring, covered storage, seasonal controls",South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.
